Qty,Description,Category,Manufacturer,Manufacturer,Vendor,Vendor part,Cost,Designator,,,,,,,,,,,
18,"Capacitor, Ceramic, 2.2UF, 10%, 25V, 0603, X5R",Passives,Murata,GRM188R61E225KA12D,NW,13T1193,0.107,"C73, C76, C118, C119, C122, C124, C125, C128, C130, C131, C134, C136, C149, C150, C151, C152, C153, C154",,,,,,,,,,,
57,"Capacitor, Ceramic, 0.1 uF 50V, 10%, 0603, X7R",Passives,Murata,GRM188R71H104KA93D,DK,490-1519-1-ND,0.02,"C1, C2, C3, C4, C5, C7, C8, C9, C10, C11, C13, C14, C15, C16, C17, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C31, C32, C33, C34, C35, C37, C38, C39, C40, C41, C43, C44, C45, C46, C47, C50, C74, C117, C120, C123, C126, C129, C132, C135, C157, C158, C159, C160, C168, C171, C172, C175",,,,,,,,,,,
1,"Capacitor, Ceramic, 4.7 nF, 50V, X7R, 10%, 0603",Passives,Murata,GRM188R71H472KA01D,NW,38K1673,0.006,C51,,,,,,,,,,,
2,"Capacitor, Ceramic, 22 uF, 6.3V, X5R, 20%, 0805",22 uF,Murata,GRM21BR60J226ME39L,NW,24R6338,0.091,"C190, C191",,,,,,,,,,,
4,"Capacitor, Ceramic, 10 uF 16V, 10%, X5R, 0805",Passives,Murata,GRM21BR61C106KE15L,NW,35R0687,0.231,"C75, C121, C127, C133",,,,,,,,,,,
1,"Capacitor, Ceramic, 1 uF, 50V, X7R, 10%, 1210",Passives,Murata,GRM32RR71H105KA01L,NW,97K0677,0.248,C189,,,,,,,,,,,
4,"LED, Red, 0603, 17mcd",LEDs,Avago,HSMH-C190,NW,40K0127,0.081,"LED1, LED3, LED4, LED5",,,,,,,,,,,
1,"IC, Digital Isolator, 150Mbps",ICs,Texas Instruments,ISO7241CDW,NW,73M3155,5.25,IC9,,,,,,,,,,,
2,"LED, Green, 0603, 10mcd",LEDs,Osram,LGQ971,NW,05M0493,0.054,"LED2, LED6",,,,,,,,,,,
1,"IC, DC-DC Conv, Buck, 42 Vin, 1.25 MHz, SOT23-6",ICs,Texas Instruments,LMR14206XMKE/NOPB,NW,76T5004,2.72,IC15,,,,,,,,,,,
1,"IC, LDO VOLT REG, 3.3V, 0.5A, SOT-223-5",ICs,Texas Instruments,LP38693MP-3.3/NOPB,NW,41K7496,1.53,IC6,,,,,,,,,,,
1,"Diode, Zener, 3 V, 200 mW, SOD-323",Passives,ON Semiconductor,MM3Z3V0T1G,NW,09R9502,0.017,D29,,,,,,,,,,,
24,"Diode, Zener, 5.1V, 200 mW, SOD-323",Passives,ON Semiconductor,MM3Z5V1T1G,NW,67H6879,0.017,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28",,,,,,,,,,,
4,RES 510K OHM 1/16W 1% 0402 SMD,Passives,Yageo,RC0402FR-07510KL,DK,311-510KLRCT-ND,0.011,"R144, R145, R146, R147",,,,,,,,,,,
4,"Resistor, 100 ohm, 62.5 mW, 1%, 0402",Passives,Yageo,RC0402FR-13100RL,NW,67R9962,0.007,"R126, R128, R130, R132",,,,,,,,,,,
1,"Resistor, 36 kohm, 1%, 100 mW, 0603",Passives,Yageo,RC0603FR-0736KL,DK,311-36.0KHRCT-ND,0.0108,R136,,,,,,,,,,,
7,"Resistor, 10k ohm 100 mW, 5%, 100ppm, 0603",Passives,Yageo,RC0603JR-1010KL,NW,68R0215,0.008,"R137, R138, R139, R154, R155, R157, R158, R161",,,,,,,,,,,
1,"Inductor, 18 uH, 1.5 A, unshielded, 15%, 8012",Passives,Bourns,SDR0604-180YL,DK,SDR0604-180YLCT-ND,0.47,L5,,,,,,,,,,,
2,TVS DIODE 30VWM 48.4VC SMB,Passives,Littelfuse,SMBJ30CA,DK,SMBJ30CALFCT-ND,0.423,"D1, D2",,,,,,,,,,,
1,"IC, CAN TX/RX, 1 MBps, 5.5V, 8-SOIC",ICs,Texas Instruments,SN65HVD1050D,NW,70K4439,1.32,IC8,,,,,,,,,,,
1,"IC, Buffer, 2-bit, non-invert, open drain, SOT-23-6",ICs,Texas Instruments,SN74LVC2G07DBVR,DK,296-13494-1-ND,0.59,IC14,,,,,,,,,,,
1,"Diode, Schottky, 40V, 500 mA, SOD-123",Passives,STMICROELECTRONICS,STPS0560Z,NW,89K1573,0.762,D18,,,,,,,,,,,
2,"Capacitor, Tantalum, 100 uF, 6.3V, 10%, 1411",Passives,AVX,TAJB107K006RNJ,NW,60R5877,0.633,"C49, C54",,,,,,,,,,,
1,"IC, MCU, C2000 piccolo, LQFP80",ICs,Texas Instruments,TMS320F28035PNT,DK,296-32764-ND,12.38,IC7,,,,,,,,,,,
